id,Context,Message,Insult,Threat,Harassment,IdentityAttack
24,School,"यस्तो सजिलो प्रश्नको जवाफ पनि थाहा छैन, कति मूर्ख",1,0,0,0
25,School,"तिम्रो हस्तलेखन हेर्दा हाँसो उठ्छ, कति बदमास लेखाइ",1,0,0,0
26,School,"वास्तवमा, तिमी त हरेक पटक फेल हुने विद्यार्थी होस्",1,0,0,0
27,School,"भोलि विद्यालय पछाडि भेट्, तिमीलाई कुट्नेछु",0,1,0,0
28,School,"साथी, फेरि शिक्षकलाई गुनासो गरे तिम्रो झोला च्यातिदिन्छु",0,1,0,0
29,School,"साथी, अब यो कुरा सुन्दैनौ भने तिम्रो साइकल भत्काइदिन्छु",0,1,0,0
30,School,"साथी, सधैं समूह परियोजनामा उसलाई समावेश गरिँदैन, सबैले वास्ता गर्दैनन्",0,0,1,0
31,School,"वास्तवमा, हरेक दिन खाजा खाने समयमा उसलाई एक्लै छोडिन्छ",0,0,1,0
32,School,च्याट समूहबाट उसलाई हटाइयो र कसैले जवाफ दिँदैन,0,0,1,0
33,School,"वास्तवमा, तिम्रो जातको कारण यहाँ तिमीसँग कोही बस्दैन",0,0,0,1
34,School,"वास्तवमा, गरिब परिवारको भएकोले तिमीलाई कक्षामा जिस्क्याइन्छ",0,0,0,1
35,School,"अरे, तिम्रो लवाइको कारण सबैले तिमीलाई फरक व्यवहार गर्छन्",0,0,0,1
36,School,"आज खेल समयमा उसलाई हेपेर टिमबाट बाहिर राखियो, बदमासीपूर्ण शब्द पनि भने",1,0,1,0
37,School,"अरे, भोलि फेरि ढिलो आयौ भने कुट्ने धम्की दिँदै सबैले बाहिर राखे",0,1,1,0
38,School,"सुन्, तिम्रो शारीरिक बनावटको कारण सबैले उपनाम राखेर जिस्क्याउँछन्",1,0,0,1
39,School,आजको गृहकार्य कहिलेसम्म बुझाउने हो थाहा छ?,0,0,0,0
40,School,"भोलि विज्ञान प्रदर्शनीको तयारी गर्नुपर्छ, सहयोग गर्नुहोस्",0,0,0,0
41,School,कक्षा शिक्षकले भोलि परीक्षा हुने भनेर जानकारी दिनुभयो,0,0,0,0
42,School,"साथी, तिम्रो प्रोजेक्ट प्रस्तुति एकदम राम्रो थियो, बधाई छ",0,0,0,0
43,School,"साथी, पुस्तकालयमा भेटौं, गृहकार्यमा सहयोग गरौं",0,0,0,0
44,School,"अरे, आज खेलकुद प्रतियोगितामा राम्रो प्रदर्शन गर्यौ",0,0,0,0
45,School,"अरे, तँ त कक्षामा सबैभन्दा बेकार विद्यार्थी होस्",1,0,0,0
46,School,"यस्तो सजिलो प्रश्नको जवाफ पनि थाहा छैन, कति मूर्ख",1,0,0,0
47,School,"अरे, तिम्रो हस्तलेखन हेर्दा हाँसो उठ्छ, कति बदमास लेखाइ",1,0,0,0
48,School,"साथी, तिमी त हरेक पटक फेल हुने विद्यार्थी होस्",1,0,0,0
49,School,"वास्तवमा, भोलि विद्यालय पछाडि भेट्, तिमीलाई कुट्नेछु",0,1,0,0
50,School,"वास्तवमा, फेरि शिक्षकलाई गुनासो गरे तिम्रो झोला च्यातिदिन्छु",0,1,0,0
51,School,"वास्तवमा, अब यो कुरा सुन्दैनौ भने तिम्रो साइकल भत्काइदिन्छु",0,1,0,0
52,School,"अरे, सधैं समूह परियोजनामा उसलाई समावेश गरिँदैन, सबैले वास्ता गर्दैनन्",0,0,1,0
53,School,"सुन्, हरेक दिन खाजा खाने समयमा उसलाई एक्लै छोडिन्छ",0,0,1,0
54,School,"साथी, च्याट समूहबाट उसलाई हटाइयो र कसैले जवाफ दिँदैन",0,0,1,0
55,School,"सुन्, तिम्रो जातको कारण यहाँ तिमीसँग कोही बस्दैन",0,0,0,1
56,School,"अरे, गरिब परिवारको भएकोले तिमीलाई कक्षामा जिस्क्याइन्छ",0,0,0,1
57,School,तिम्रो लवाइको कारण सबैले तिमीलाई फरक व्यवहार गर्छन्,0,0,0,1
58,School,"फेरि भन्छु, आज खेल समयमा उसलाई हेपेर टिमबाट बाहिर राखियो, बदमासीपूर्ण शब्द पनि भने",1,0,1,0
59,School,"फेरि भन्छु, भोलि फेरि ढिलो आयौ भने कुट्ने धम्की दिँदै सबैले बाहिर राखे",0,1,1,0
60,School,तिम्रो शारीरिक बनावटको कारण सबैले उपनाम राखेर जिस्क्याउँछन्,1,0,0,1
61,School,"फेरि भन्छु, आजको गृहकार्य कहिलेसम्म बुझाउने हो थाहा छ?",0,0,0,0
62,School,"फेरि भन्छु, भोलि विज्ञान प्रदर्शनीको तयारी गर्नुपर्छ, सहयोग गर्नुहोस्",0,0,0,0
63,School,"साथी, कक्षा शिक्षकले भोलि परीक्षा हुने भनेर जानकारी दिनुभयो",0,0,0,0
64,School,"वास्तवमा, तिम्रो प्रोजेक्ट प्रस्तुति एकदम राम्रो थियो, बधाई छ",0,0,0,0
65,School,"सुन्, पुस्तकालयमा भेटौं, गृहकार्यमा सहयोग गरौं",0,0,0,0
66,School,आज खेलकुद प्रतियोगितामा राम्रो प्रदर्शन गर्यौ,0,0,0,0
67,School,तँ त कक्षामा सबैभन्दा बेकार विद्यार्थी होस्,1,0,0,0
68,School,"साथी, यस्तो सजिलो प्रश्नको जवाफ पनि थाहा छैन, कति मूर्ख",1,0,0,0
69,School,"साथी, तिम्रो हस्तलेखन हेर्दा हाँसो उठ्छ, कति बदमास लेखाइ",1,0,0,0
70,School,"फेरि भन्छु, तिमी त हरेक पटक फेल हुने विद्यार्थी होस्",1,0,0,0
71,School,"भोलि विद्यालय पछाडि भेट्, तिमीलाई कुट्नेछु",0,1,0,0
72,School,फेरि शिक्षकलाई गुनासो गरे तिम्रो झोला च्यातिदिन्छु,0,1,0,0
73,School,अब यो कुरा सुन्दैनौ भने तिम्रो साइकल भत्काइदिन्छु,0,1,0,0
74,School,"सुन्, सधैं समूह परियोजनामा उसलाई समावेश गरिँदैन, सबैले वास्ता गर्दैनन्",0,0,1,0
75,School,हरेक दिन खाजा खाने समयमा उसलाई एक्लै छोडिन्छ,0,0,1,0
76,School,च्याट समूहबाट उसलाई हटाइयो र कसैले जवाफ दिँदैन,0,0,1,0
77,School,"फेरि भन्छु, तिम्रो जातको कारण यहाँ तिमीसँग कोही बस्दैन",0,0,0,1
78,School,गरिब परिवारको भएकोले तिमीलाई कक्षामा जिस्क्याइन्छ,0,0,0,1
79,School,"अरे, तिम्रो लवाइको कारण सबैले तिमीलाई फरक व्यवहार गर्छन्",0,0,0,1
80,School,"आज खेल समयमा उसलाई हेपेर टिमबाट बाहिर राखियो, बदमासीपूर्ण शब्द पनि भने",1,0,1,0
81,School,"फेरि भन्छु, भोलि फेरि ढिलो आयौ भने कुट्ने धम्की दिँदै सबैले बाहिर राखे",0,1,1,0
82,School,तिम्रो शारीरिक बनावटको कारण सबैले उपनाम राखेर जिस्क्याउँछन्,1,0,0,1
83,School,"वास्तवमा, आजको गृहकार्य कहिलेसम्म बुझाउने हो थाहा छ?",0,0,0,0
84,School,"सुन्, भोलि विज्ञान प्रदर्शनीको तयारी गर्नुपर्छ, सहयोग गर्नुहोस्",0,0,0,0
85,School,"अरे, कक्षा शिक्षकले भोलि परीक्षा हुने भनेर जानकारी दिनुभयो",0,0,0,0
86,School,"तिम्रो प्रोजेक्ट प्रस्तुति एकदम राम्रो थियो, बधाई छ",0,0,0,0
87,School,"सुन्, पुस्तकालयमा भेटौं, गृहकार्यमा सहयोग गरौं",0,0,0,0
88,School,आज खेलकुद प्रतियोगितामा राम्रो प्रदर्शन गर्यौ,0,0,0,0
89,School,"अरे, तँ त कक्षामा सबैभन्दा बेकार विद्यार्थी होस्",1,0,0,0
90,School,"यस्तो सजिलो प्रश्नको जवाफ पनि थाहा छैन, कति मूर्ख",1,0,0,0
91,School,"फेरि भन्छु, तिम्रो हस्तलेखन हेर्दा हाँसो उठ्छ, कति बदमास लेखाइ",1,0,0,0
92,School,"वास्तवमा, तिमी त हरेक पटक फेल हुने विद्यार्थी होस्",1,0,0,0
93,School,"अरे, भोलि विद्यालय पछाडि भेट्, तिमीलाई कुट्नेछु",0,1,0,0
94,School,"फेरि भन्छु, फेरि शिक्षकलाई गुनासो गरे तिम्रो झोला च्यातिदिन्छु",0,1,0,0
95,School,अब यो कुरा सुन्दैनौ भने तिम्रो साइकल भत्काइदिन्छु,0,1,0,0
96,School,"अरे, सधैं समूह परियोजनामा उसलाई समावेश गरिँदैन, सबैले वास्ता गर्दैनन्",0,0,1,0
97,School,"साथी, हरेक दिन खाजा खाने समयमा उसलाई एक्लै छोडिन्छ",0,0,1,0
98,School,"वास्तवमा, च्याट समूहबाट उसलाई हटाइयो र कसैले जवाफ दिँदैन",0,0,1,0
99,School,तिम्रो जातको कारण यहाँ तिमीसँग कोही बस्दैन,0,0,0,1
100,School,गरिब परिवारको भएकोले तिमीलाई कक्षामा जिस्क्याइन्छ,0,0,0,1
101,Workplace,तिमीले गरेको काम एकदम फोहोर र बेकार छ,1,0,0,0
102,Workplace,तिमी जस्तो अयोग्य कर्मचारी मैले कहिल्यै देखेको छैन,1,0,0,0
103,Workplace,"यति सामान्य रिपोर्ट पनि मिलाउन जान्दैनौ, कति नालायक",1,0,0,0
104,Workplace,"तिम्रो प्रस्तुतिकरण हेर्दा लाज लाग्छ, कति कमजोर सोच",1,0,0,0
105,Workplace,"अर्को गल्ती गरे तिम्रो जागिर खोसिदिन्छु, याद राख्",0,1,0,0
106,Workplace,मसँग नबोलिकन म्यानेजरलाई भने तिम्रो करियर सिध्याइदिन्छु,0,1,0,0
107,Workplace,"अफिस पछि एक्लै भेट्छु, तिमीलाई थाहा हुन्छ",0,1,0,0
108,Workplace,हरेक बैठकमा उसको विचार बेवास्ता गरिन्छ र बोल्न दिइँदैन,0,0,1,0
109,Workplace,"टिम लन्चमा उसलाई कहिल्यै बोलाइँदैन, जानाजान बाहिर राखिन्छ",0,0,1,0
110,Workplace,इमेल समूहबाट उसलाई हटाइयो र जानकारी दिइँदैन,0,0,1,0
111,Workplace,महिला भएकै कारण उसलाई महत्वपूर्ण जिम्मेवारी दिइँदैन,0,0,0,1
112,Workplace,तिम्रो जातीय पृष्ठभूमिको कारण यो पद तिमीलाई दिइएन,0,0,0,1
113,Workplace,तिम्रो उमेरको कारण तिमीलाई अब काम गर्न सक्दैनौ भनियो,0,0,0,1
114,Workplace,बैठकमा सबैले उसलाई मूर्ख भन्दै काम बाँडफाँटबाट बाहिर राखे,1,0,1,0
115,Workplace,फेरि ढिलो आयौ भने कारबाही गर्ने भन्दै सबै जिम्मेवारीबाट हटाइयो,0,1,1,0
116,Workplace,अपाङ्गताको कारण उसलाई नालायक भन्दै खिसी गरियो,1,0,0,1
117,Workplace,भोलिको बैठकको एजेन्डा पठाइदिनुहोस्,0,0,0,0
118,Workplace,"यो महिनाको रिपोर्ट राम्रोसँग तयार भएको छ, धन्यवाद",0,0,0,0
119,Workplace,तपाईंको प्रस्तुतिले धेरै राम्रो प्रभाव पार्यो,0,0,0,0
120,Workplace,अर्को हप्ता तालिम कार्यक्रम राखिएको छ,0,0,0,0
121,Workplace,"टिमको सहकार्यमा प्रोजेक्ट समयमै सकियो, बधाई छ",0,0,0,0
122,Workplace,कृपया भोलिको छलफलमा सक्रिय रुपमा सहभागी हुनुहोस्,0,0,0,0
123,Workplace,"वास्तवमा, तिमीले गरेको काम एकदम फोहोर र बेकार छ",1,0,0,0
124,Workplace,"साथी, तिमी जस्तो अयोग्य कर्मचारी मैले कहिल्यै देखेको छैन",1,0,0,0
125,Workplace,"फेरि भन्छु, यति सामान्य रिपोर्ट पनि मिलाउन जान्दैनौ, कति नालायक",1,0,0,0
126,Workplace,"तिम्रो प्रस्तुतिकरण हेर्दा लाज लाग्छ, कति कमजोर सोच",1,0,0,0
127,Workplace,"अर्को गल्ती गरे तिम्रो जागिर खोसिदिन्छु, याद राख्",0,1,0,0
128,Workplace,"फेरि भन्छु, मसँग नबोलिकन म्यानेजरलाई भने तिम्रो करियर सिध्याइदिन्छु",0,1,0,0
129,Workplace,"साथी, अफिस पछि एक्लै भेट्छु, तिमीलाई थाहा हुन्छ",0,1,0,0
130,Workplace,"फेरि भन्छु, हरेक बैठकमा उसको विचार बेवास्ता गरिन्छ र बोल्न दिइँदैन",0,0,1,0
131,Workplace,"टिम लन्चमा उसलाई कहिल्यै बोलाइँदैन, जानाजान बाहिर राखिन्छ",0,0,1,0
132,Workplace,"सुन्, इमेल समूहबाट उसलाई हटाइयो र जानकारी दिइँदैन",0,0,1,0
133,Workplace,महिला भएकै कारण उसलाई महत्वपूर्ण जिम्मेवारी दिइँदैन,0,0,0,1
134,Workplace,"सुन्, तिम्रो जातीय पृष्ठभूमिको कारण यो पद तिमीलाई दिइएन",0,0,0,1
135,Workplace,"वास्तवमा, तिम्रो उमेरको कारण तिमीलाई अब काम गर्न सक्दैनौ भनियो",0,0,0,1
136,Workplace,"फेरि भन्छु, बैठकमा सबैले उसलाई मूर्ख भन्दै काम बाँडफाँटबाट बाहिर राखे",1,0,1,0
137,Workplace,फेरि ढिलो आयौ भने कारबाही गर्ने भन्दै सबै जिम्मेवारीबाट हटाइयो,0,1,1,0
138,Workplace,"साथी, अपाङ्गताको कारण उसलाई नालायक भन्दै खिसी गरियो",1,0,0,1
139,Workplace,भोलिको बैठकको एजेन्डा पठाइदिनुहोस्,0,0,0,0
140,Workplace,"यो महिनाको रिपोर्ट राम्रोसँग तयार भएको छ, धन्यवाद",0,0,0,0
141,Workplace,"साथी, तपाईंको प्रस्तुतिले धेरै राम्रो प्रभाव पार्यो",0,0,0,0
142,Workplace,"वास्तवमा, अर्को हप्ता तालिम कार्यक्रम राखिएको छ",0,0,0,0
143,Workplace,"टिमको सहकार्यमा प्रोजेक्ट समयमै सकियो, बधाई छ",0,0,0,0
144,Workplace,"वास्तवमा, कृपया भोलिको छलफलमा सक्रिय रुपमा सहभागी हुनुहोस्",0,0,0,0
145,Workplace,"वास्तवमा, तिमीले गरेको काम एकदम फोहोर र बेकार छ",1,0,0,0
146,Workplace,"वास्तवमा, तिमी जस्तो अयोग्य कर्मचारी मैले कहिल्यै देखेको छैन",1,0,0,0
147,Workplace,"यति सामान्य रिपोर्ट पनि मिलाउन जान्दैनौ, कति नालायक",1,0,0,0
148,Workplace,"अरे, तिम्रो प्रस्तुतिकरण हेर्दा लाज लाग्छ, कति कमजोर सोच",1,0,0,0
149,Workplace,"वास्तवमा, अर्को गल्ती गरे तिम्रो जागिर खोसिदिन्छु, याद राख्",0,1,0,0
150,Workplace,"साथी, मसँग नबोलिकन म्यानेजरलाई भने तिम्रो करियर सिध्याइदिन्छु",0,1,0,0
151,Workplace,"अरे, अफिस पछि एक्लै भेट्छु, तिमीलाई थाहा हुन्छ",0,1,0,0
152,Workplace,"वास्तवमा, हरेक बैठकमा उसको विचार बेवास्ता गरिन्छ र बोल्न दिइँदैन",0,0,1,0
153,Workplace,"साथी, टिम लन्चमा उसलाई कहिल्यै बोलाइँदैन, जानाजान बाहिर राखिन्छ",0,0,1,0
154,Workplace,"साथी, इमेल समूहबाट उसलाई हटाइयो र जानकारी दिइँदैन",0,0,1,0
155,Workplace,"सुन्, महिला भएकै कारण उसलाई महत्वपूर्ण जिम्मेवारी दिइँदैन",0,0,0,1
156,Workplace,"सुन्, तिम्रो जातीय पृष्ठभूमिको कारण यो पद तिमीलाई दिइएन",0,0,0,1
157,Workplace,तिम्रो उमेरको कारण तिमीलाई अब काम गर्न सक्दैनौ भनियो,0,0,0,1
158,Workplace,"वास्तवमा, बैठकमा सबैले उसलाई मूर्ख भन्दै काम बाँडफाँटबाट बाहिर राखे",1,0,1,0
159,Workplace,"वास्तवमा, फेरि ढिलो आयौ भने कारबाही गर्ने भन्दै सबै जिम्मेवारीबाट हटाइयो",0,1,1,0
160,Workplace,"अरे, अपाङ्गताको कारण उसलाई नालायक भन्दै खिसी गरियो",1,0,0,1
161,Workplace,"साथी, भोलिको बैठकको एजेन्डा पठाइदिनुहोस्",0,0,0,0
162,Workplace,"वास्तवमा, यो महिनाको रिपोर्ट राम्रोसँग तयार भएको छ, धन्यवाद",0,0,0,0
163,Workplace,तपाईंको प्रस्तुतिले धेरै राम्रो प्रभाव पार्यो,0,0,0,0
164,Workplace,"फेरि भन्छु, अर्को हप्ता तालिम कार्यक्रम राखिएको छ",0,0,0,0
165,Workplace,"फेरि भन्छु, टिमको सहकार्यमा प्रोजेक्ट समयमै सकियो, बधाई छ",0,0,0,0
166,Workplace,"फेरि भन्छु, कृपया भोलिको छलफलमा सक्रिय रुपमा सहभागी हुनुहोस्",0,0,0,0
167,Workplace,तिमीले गरेको काम एकदम फोहोर र बेकार छ,1,0,0,0
168,Workplace,"साथी, तिमी जस्तो अयोग्य कर्मचारी मैले कहिल्यै देखेको छैन",1,0,0,0
169,Workplace,"फेरि भन्छु, यति सामान्य रिपोर्ट पनि मिलाउन जान्दैनौ, कति नालायक",1,0,0,0
170,Workplace,"तिम्रो प्रस्तुतिकरण हेर्दा लाज लाग्छ, कति कमजोर सोच",1,0,0,0
171,Workplace,"फेरि भन्छु, अर्को गल्ती गरे तिम्रो जागिर खोसिदिन्छु, याद राख्",0,1,0,0
172,Workplace,मसँग नबोलिकन म्यानेजरलाई भने तिम्रो करियर सिध्याइदिन्छु,0,1,0,0
173,Workplace,"सुन्, अफिस पछि एक्लै भेट्छु, तिमीलाई थाहा हुन्छ",0,1,0,0
174,Workplace,हरेक बैठकमा उसको विचार बेवास्ता गरिन्छ र बोल्न दिइँदैन,0,0,1,0
175,Workplace,"टिम लन्चमा उसलाई कहिल्यै बोलाइँदैन, जानाजान बाहिर राखिन्छ",0,0,1,0
176,Workplace,"साथी, इमेल समूहबाट उसलाई हटाइयो र जानकारी दिइँदैन",0,0,1,0
177,Workplace,"अरे, महिला भएकै कारण उसलाई महत्वपूर्ण जिम्मेवारी दिइँदैन",0,0,0,1
178,Workplace,"वास्तवमा, तिम्रो जातीय पृष्ठभूमिको कारण यो पद तिमीलाई दिइएन",0,0,0,1
179,Workplace,तिम्रो उमेरको कारण तिमीलाई अब काम गर्न सक्दैनौ भनियो,0,0,0,1
180,Workplace,"साथी, बैठकमा सबैले उसलाई मूर्ख भन्दै काम बाँडफाँटबाट बाहिर राखे",1,0,1,0
181,Workplace,"वास्तवमा, फेरि ढिलो आयौ भने कारबाही गर्ने भन्दै सबै जिम्मेवारीबाट हटाइयो",0,1,1,0
182,Workplace,"सुन्, अपाङ्गताको कारण उसलाई नालायक भन्दै खिसी गरियो",1,0,0,1
183,Workplace,"सुन्, भोलिको बैठकको एजेन्डा पठाइदिनुहोस्",0,0,0,0
184,Workplace,"वास्तवमा, यो महिनाको रिपोर्ट राम्रोसँग तयार भएको छ, धन्यवाद",0,0,0,0
185,Workplace,"सुन्, तपाईंको प्रस्तुतिले धेरै राम्रो प्रभाव पार्यो",0,0,0,0
186,Workplace,"साथी, अर्को हप्ता तालिम कार्यक्रम राखिएको छ",0,0,0,0
187,Workplace,"टिमको सहकार्यमा प्रोजेक्ट समयमै सकियो, बधाई छ",0,0,0,0
188,Workplace,"साथी, कृपया भोलिको छलफलमा सक्रिय रुपमा सहभागी हुनुहोस्",0,0,0,0
189,Workplace,"साथी, तिमीले गरेको काम एकदम फोहोर र बेकार छ",1,0,0,0
190,Workplace,"वास्तवमा, तिमी जस्तो अयोग्य कर्मचारी मैले कहिल्यै देखेको छैन",1,0,0,0
191,Workplace,"अरे, यति सामान्य रिपोर्ट पनि मिलाउन जान्दैनौ, कति नालायक",1,0,0,0
192,Workplace,"अरे, तिम्रो प्रस्तुतिकरण हेर्दा लाज लाग्छ, कति कमजोर सोच",1,0,0,0
193,Workplace,"अर्को गल्ती गरे तिम्रो जागिर खोसिदिन्छु, याद राख्",0,1,0,0
194,Workplace,"वास्तवमा, मसँग नबोलिकन म्यानेजरलाई भने तिम्रो करियर सिध्याइदिन्छु",0,1,0,0
195,Workplace,"अरे, अफिस पछि एक्लै भेट्छु, तिमीलाई थाहा हुन्छ",0,1,0,0
196,Workplace,"सुन्, हरेक बैठकमा उसको विचार बेवास्ता गरिन्छ र बोल्न दिइँदैन",0,0,1,0
197,Workplace,"अरे, टिम लन्चमा उसलाई कहिल्यै बोलाइँदैन, जानाजान बाहिर राखिन्छ",0,0,1,0
198,Workplace,"सुन्, इमेल समूहबाट उसलाई हटाइयो र जानकारी दिइँदैन",0,0,1,0
199,Workplace,महिला भएकै कारण उसलाई महत्वपूर्ण जिम्मेवारी दिइँदैन,0,0,0,1
200,Workplace,"साथी, तिम्रो जातीय पृष्ठभूमिको कारण यो पद तिमीलाई दिइएन",0,0,0,1
201,Stranger,तँ जस्तो बेवकुफ मान्छे मैले जीवनमा देखेको छैन,1,0,0,0
202,Stranger,"तिम्रो अनुहार हेर्दा नै वाक्क लाग्छ, कति कुरूप",1,0,0,0
203,Stranger,"यति सामान्य कुरा पनि बुझ्दैनस्, कति गधा जस्तो",1,0,0,0
204,Stranger,"फेरि यता देखेँ भने कुट्छुँँुँ, याद राख्",0,1,0,0
205,Stranger,"घर पछ्याएर आउँछु, तिमीलाई डर लाग्नुपर्छ",0,1,0,0
206,Stranger,"रात्रीमा एक्लै हिँड्दा सावधान बस्, केही हुन सक्छ",0,1,0,0
207,Stranger,सामाजिक सञ्जालमा निरन्तर अपमानजनक कमेन्ट पठाइरहन्छ,0,0,1,0
208,Stranger,"बारम्बार म्यासेज पठाएर हैरान पार्दै छ, रोक्दैन",0,0,1,0
209,Stranger,जहाँ गए पनि पछ्याउँदै अनावश्यक टिप्पणी गर्छ,0,0,1,0
210,Stranger,तिम्रो धर्मको मान्छे यहाँ बस्नै हुँदैन,0,0,0,1
211,Stranger,तिम्रो छालाको रङको कारण तिमीलाई हेप्छन्,0,0,0,1
212,Stranger,तिमी विदेशी भएकोले यहाँ अधिकार छैन भन्दै हप्काए,0,0,0,1
213,Stranger,सडकमा हिँड्दा जातको आधारमा गाली गर्दै धम्क्याए,1,1,0,1
214,Stranger,फेरि यहाँ देखिस् भने तेरो जातलाई सम्झाइदिन्छु भन्दै लगातार पछ्याउँछ,0,1,1,1
215,Stranger,अनलाइनमा निरन्तर लिङ्गको आधारमा गाली र अपमान गर्दै छ,1,0,1,1
216,Stranger,बाटो कता जाने हो भनेर सोध्नुभयो,0,0,0,0
217,Stranger,"नमस्ते, तपाईंलाई सहयोग चाहिन्छ कि?",0,0,0,0
218,Stranger,आजको मौसम एकदम रमाइलो छ,0,0,0,0
219,Stranger,धन्यवाद बाटो देखाइदिनुभएकोमा,0,0,0,0
220,Stranger,पसल कति बजे खुल्छ थाहा छ?,0,0,0,0
221,Stranger,तपाईंको सहयोगको लागि धेरै धन्यवाद,0,0,0,0
222,Stranger,"साथी, तँ जस्तो बेवकुफ मान्छे मैले जीवनमा देखेको छैन",1,0,0,0
223,Stranger,"अरे, तिम्रो अनुहार हेर्दा नै वाक्क लाग्छ, कति कुरूप",1,0,0,0
224,Stranger,"सुन्, यति सामान्य कुरा पनि बुझ्दैनस्, कति गधा जस्तो",1,0,0,0
225,Stranger,"फेरि यता देखेँ भने कुट्छुँँु, याद राख्",0,1,0,0
226,Stranger,"फेरि भन्छु, घर पछ्याएर आउँछु, तिमीलाई डर लाग्नुपर्छ",0,1,0,0
227,Stranger,"रात्रीमा एक्लै हिँड्दा सावधान बस्, केही हुन सक्छ",0,1,0,0
228,Stranger,"फेरि भन्छु, सामाजिक सञ्जालमा निरन्तर अपमानजनक कमेन्ट पठाइरहन्छ",0,0,1,0
229,Stranger,"बारम्बार म्यासेज पठाएर हैरान पार्दै छ, रोक्दैन",0,0,1,0
230,Stranger,"साथी, जहाँ गए पनि पछ्याउँदै अनावश्यक टिप्पणी गर्छ",0,0,1,0
231,Stranger,"वास्तवमा, तिम्रो धर्मको मान्छे यहाँ बस्नै हुँदैन",0,0,0,1
232,Stranger,"साथी, तिम्रो छालाको रङको कारण तिमीलाई हेप्छन्",0,0,0,1
233,Stranger,"फेरि भन्छु, तिमी विदेशी भएकोले यहाँ अधिकार छैन भन्दै हप्काए",0,0,0,1
234,Stranger,"वास्तवमा, सडकमा हिँड्दा जातको आधारमा गाली गर्दै धम्क्याए",1,1,0,1
235,Stranger,"सुन्, फेरि यहाँ देखिस् भने तेरो जातलाई सम्झाइदिन्छु भन्दै लगातार पछ्याउँछ",0,1,1,1
236,Stranger,"अरे, अनलाइनमा निरन्तर लिङ्गको आधारमा गाली र अपमान गर्दै छ",1,0,1,1
237,Stranger,बाटो कता जाने हो भनेर सोध्नुभयो,0,0,0,0
238,Stranger,"सुन्, नमस्ते, तपाईंलाई सहयोग चाहिन्छ कि?",0,0,0,0
239,Stranger,"सुन्, आजको मौसम एकदम रमाइलो छ",0,0,0,0
240,Stranger,"अरे, धन्यवाद बाटो देखाइदिनुभएकोमा",0,0,0,0
241,Stranger,"सुन्, पसल कति बजे खुल्छ थाहा छ?",0,0,0,0
242,Stranger,"अरे, तपाईंको सहयोगको लागि धेरै धन्यवाद",0,0,0,0
243,Stranger,तँ जस्तो बेवकुफ मान्छे मैले जीवनमा देखेको छैन,1,0,0,0
244,Stranger,"अरे, तिम्रो अनुहार हेर्दा नै वाक्क लाग्छ, कति कुरूप",1,0,0,0
